ID	housepriceofunitArea_Y	houseAge X1	numberofConvenienceStores X2	DistanceToNearestTransitStation x3
271	117.5	10.8	1	252.5822
272	26.5	17.7	8	451.6419
273	40.5	13	5	492.2313
274	29.3	13.2	1	170.1289
275	41	27.5	7	394.0173
276	49.7	1.5	7	23.38284
277	34	19.1	5	461.1016
278	27.7	21.2	3	2185.128
279	44	0	6	208.3905
280	31.1	2.6	3	1554.25
281	45.4	2.3	6	184.3302
282	44.8	4.7	9	387.7721
283	25.6	2	1	1455.798
284	23.5	33.5	2	1978.671
285	34.4	15	7	383.2805
286	55.3	30.1	3	718.2937
287	56.3	5.9	9	90.45606
288	32.9	19.2	5	461.1016
289	51	16.6	6	323.6912
290	44.5	13.9	5	289.3248
291	37	37.7	0	490.3446
292	54.4	3.4	7	56.47425
293	24.5	17.5	5	395.6747
294	42.5	12.6	7	383.2805
295	38.1	26.4	6	335.5273
296	21.8	18.2	3	2179.59
297	34.1	12.5	4	1144.436
298	28.5	34.9	4	567.0349
299	16.7	16.7	0	4082.015
300	46.1	33.2	10	121.7262
301	36.9	2.5	4	156.2442
302	35.7	38	0	461.7848
303	23.2	16.5	3	2288.011
304	38.4	38.3	0	439.7105
305	29.4	20	3	1626.083
306	55	16.2	5	289.3248
307	50.2	14.4	1	169.9803
308	24.7	10.3	0	3079.89
309	53	16.4	5	289.3248
310	19.1	30.3	0	1264.73
311	24.7	16.4	2	1643.499
312	42.2	21.3	4	537.7971
313	78	35.4	9	318.5292
314	42.8	8.3	5	104.8101
315	41.6	3.7	6	577.9615
316	27.3	15.6	2	1756.411
317	42	13.3	7	250.631
318	37.5	15.6	2	752.7669
319	49.8	7.1	10	379.5575
320	26.9	34.6	5	272.6783
321	18.6	13.5	0	4197.349
322	37.7	16.9	4	964.7496
323	33.1	12.9	1	187.4823
324	42.5	28.6	6	197.1338
325	31.3	12.4	2	1712.632
326	38.1	36.6	8	488.8193
327	62.1	4.1	7	56.47425
328	36.7	3.5	3	757.3377
329	23.6	15.9	3	1497.713
330	19.2	13.6	0	4197.349
331	12.8	32	0	1156.777
332	15.6	25.6	0	4519.69
333	39.6	39.8	2	617.7134
334	38.4	7.8	5	104.8101
335	22.8	30	5	1013.341
336	36.5	27.3	6	337.6016
337	35.6	5.1	2	1867.233
338	30.9	31.3	5	600.8604
339	36.3	31.5	9	258.186
340	50.4	1.7	5	329.9747
341	42.9	33.6	0	270.8895
342	37	13	2	750.0704
343	53.5	5.7	9	90.45606
344	46.6	33.5	8	563.2854
345	41.2	34.6	0	3085.17
346	37.9	0	0	185.4296
347	30.8	13.2	2	1712.632
348	11.2	17.4	1	6488.021
349	53.7	4.6	6	259.6607
350	47	7.8	5	104.8101
351	42.3	13.2	5	492.2313
352	28.6	4	3	2180.245
353	25.7	18.4	3	2674.961
354	31.3	4.1	3	2147.376
355	30.1	12.2	1	1360.139
356	60.7	3.8	5	383.8624
357	45.3	10.3	1	211.4473
358	44.9	0	9	338.9679
359	45.1	1.1	6	193.5845
360	24.7	5.6	0	2408.993
361	47.1	32.9	10	87.30222
362	63.3	41.4	8	281.205
363	40	17.1	4	967.4
364	48	32.3	10	109.9455
365	33.1	35.3	7	614.1394
366	29.5	17.3	4	2261.432
367	24.8	14.2	1	1801.544
368	20.9	15	2	1828.319
369	43.1	18.2	1	350.8515
370	22.8	20.2	3	2185.128
371	42.1	15.9	5	289.3248
372	51.7	4.1	5	312.8963
373	41.5	33.9	7	157.6052
374	52.2	0	1	274.0144
375	49.5	5.4	5	390.5684
376	23.8	21.7	0	1157.988
377	30.5	14.7	2	1717.193
378	56.8	3.9	8	49.66105
379	37.4	37.3	8	587.8877
380	69.7	0	6	292.9978
381	53.3	14.1	5	289.3248
382	47.3	8	9	132.5469
383	29.3	16.3	0	3529.564
384	40.3	29.1	4	506.1144
385	12.9	16.1	0	4066.587
386	46.6	18.3	10	82.88643
387	55.3	0	0	185.4296
388	25.6	16.2	3	2103.555
389	27.3	10.4	4	2251.938
390	67.7	40.9	8	122.3619
391	38.6	32.8	9	377.8302
392	31.3	6.2	1	1939.749
393	35.3	42.7	6	443.802
394	40.3	16.9	4	967.4
395	24.7	32.6	1	4136.271
396	42.5	21.2	4	512.5487
397	31.9	37.1	1	918.6357
398	32.2	13.1	4	1164.838
399	23	14.7	2	1717.193
400	37.3	12.7	1	170.1289
401	35.5	26.8	5	482.7581
402	27.7	7.6	3	2175.03
403	28.5	12.7	1	187.4823
404	39.7	30.9	9	161.942
405	41.2	16.4	5	289.3248
406	37.2	23	6	130.9945
407	40.5	1.9	7	372.1386
408	22.3	5.2	0	2408.993
409	28.1	18.5	3	2175.744
410	15.4	13.7	0	4082.015
411	50	5.6	9	90.45606
412	40.6	18.8	7	390.9696
413	52.5	8.1	5	104.8101
414	63.9	6.5	9	90.45606
